iter	Passed	Remaining
805	919	221
806	920	220
807	920	218
808	921	217
809	922	216
810	923	215
811	924	214
812	925	212
813	926	211
814	926	210
815	927	209
816	928	208
817	929	206
818	930	205
819	931	204
820	932	203
821	933	202
822	934	200
823	935	199
824	936	198
825	936	197
826	937	196
827	939	195
828	939	193
829	940	192
830	941	191
831	942	190
832	943	189
833	944	187
834	945	186
835	946	185
836	946	184
837	947	183
838	948	181
839	949	180
840	950	179
841	951	178
842	951	177
843	952	176
844	953	174
845	955	173
846	956	172
847	957	171
848	957	170
849	958	169
850	959	168
851	960	166
852	961	165
853	962	164
854	962	163
855	964	162
856	964	160
857	966	159
858	967	158
859	968	157
860	969	156
861	969	155
862	970	154
863	971	152
864	972	151
865	973	150
866	974	149
867	974	148
868	975	147
869	976	145
870	977	144
871	980	143
872	981	142
873	981	141
874	983	140
875	984	139
876	984	138
877	985	136
878	986	135
879	987	134
880	988	133
881	988	132
882	989	131
883	990	130
884	991	128
885	993	127
886	994	126
887	995	125
888	996	124
889	997	123
890	998	122
891	999	121
892	1000	119
893	1001	118
894	1002	117
895	1003	116
896	1005	115
897	1006	114
898	1007	113
899	1007	111
900	1008	110
901	1010	109
902	1010	108
903	1012	107
904	1013	106
905	1013	105
906	1014	104
907	1015	102
908	1016	101
909	1017	100
910	1018	99
911	1019	98
912	1019	97
913	1021	96
914	1022	94
915	1023	93
916	1024	92
917	1024	91
918	1025	90
919	1026	89
920	1027	88
921	1028	87
922	1029	85
923	1030	84
924	1031	83
925	1032	82
926	1033	81
927	1034	80
928	1034	79
929	1035	77
930	1037	76
931	1037	75
932	1038	74
933	1039	73
934	1040	72
935	1040	71
936	1041	70
937	1043	68
938	1043	67
939	1044	66
940	1045	65
941	1045	64
942	1046	63
943	1047	62
944	1048	61
945	1049	59
946	1050	58
947	1050	57
948	1052	56
949	1053	55
950	1054	54
951	1055	53
952	1056	52
953	1056	50
954	1057	49
955	1059	48
956	1059	47
957	1060	46
958	1061	45
959	1062	44
960	1063	43
961	1064	42
962	1065	40
963	1066	39
964	1067	38
965	1067	37
966	1068	36
967	1069	35
968	1070	34
969	1071	33
970	1072	32
971	1073	30
972	1074	29
973	1075	28
974	1077	27
975	1078	26
976	1082	25
977	1087	24
978	1088	23
979	1089	22
980	1090	21
981	1091	20
982	1093	18
983	1094	17
984	1097	16
985	1098	15
986	1099	14
987	1100	13
988	1101	12
989	1102	11
990	1103	10
991	1103	8
992	1104	7
993	1106	6
994	1107	5
995	1109	4
996	1109	3
997	1110	2
998	1111	1
999	1112	0
